Id,Collection,Type,Name,UserGroup,AgoraVolume,AgoraNumber,Text,PublishedNumber,Classification,Class,Deposit,Dimensions,Chronology,ChronologyRange,Sort,Sibling,Edges,Bibliography,Parent,AgoraLetter
Agora:Object:Agora XII:1,Agora,Object,"Agora XII, no. 1",Public,12,1,"Foot missing.Offset neck and echinoid mouth; raised ridge at junction of neck and wall; round handles. Neck reserved. Added red: band at level of lower attachment of handles.For a later version, see P 1358 G 6:3-U &lt;i&gt;Hesperia,&lt;/i&gt; XV, 1946, pl. 66, 268, with an ivy wreath round the neck. A patterned example from the Agora forms a link between the plain and the figured; it has black-figured lotuses on the neck and a stout echinus foot; P 18348 A 17:2 &lt;i&gt;Hesperia,&lt;/i&gt; XVII, 1948, pl. 65, 1; &lt;i&gt;Archaeology,&lt;/i&gt; I, 1948, pp. 13-20.",AV 12.1,Black and Plain Pottery | Amphora | Neck-Amphora,Black and Plain Pottery | Amphora | Neck-Amphora,Q 13:5,H. rest. 0.24; diam. 0.174.,575-550 B.C.,-575;-550,18+0000000001 Agora 0000000012:0000000001,Agora:Object:P 24986,1,"&lt;i&gt;Hesperia,&lt;/i&gt; XXV, 1956, pl. 18 k.",Agora:Image:2012.54.1450,
Agora:Object:Agora XII:2,Agora,Object,"Agora XII, no. 2",Public,12,2,"Spreading ring foot with torus outer and convex inner face. Fillet at junction of foot and wall, bounded at either side by a scraped groove. Strap handles; double mouth consisting of two broad tori. Ring at junction of neck and wall, bounded at either side by a scraped groove. Reserved: torus edge of foot and lower torus moulding of mouth. Added red: two lines at the level of the lower attachment of the handle, one line at edge of flat top and torus edge of foot.In shape it resembles the unpublished black amphora found in the Stara Zagora tomb in Bulgaria and now in the Ashmolean, Oxford. The mouth is found also on the oinochoe &lt;b&gt;181&lt;/b&gt;, Pl. 10, which resembles &lt;b&gt;2&lt;/b&gt; also in the shape of the body. &lt;b&gt;182&lt;/b&gt; and &lt;b&gt;183&lt;/b&gt;, Pl. 10, are later but show the same detail. Also close are an unpublished oinochoe from the American exca- vations on Samothrace (p. 69, note 67) and an unpublished amphora in the Louvre (76.252), not certainly Attic.Restored in plaster.",AV 12.2,Black and Plain Pottery | Amphora | Neck-Amphora,Black and Plain Pottery | Amphora | Neck-Amphora,D 7:2,H. 0.292; diam. 0.285.,Late 6th c. B.C.,-525;-500,18+0000000001 Agora 0000000012:0000000002,Agora:Object:P 7266,1,,Agora:Drawing:DA 6616,
Agora:Object:Agora XII:3,Agora,Object,"Agora XII, no. 3",Public,12,3,"Flaring ring foot. Torus mouth. Ridge at junction of neck and wall; strap handles. Added red: two lines at level of lower attachment of handle, one on lower part of wall, one inside mouth, one just below mouth on outside.",AV 12.3,Black and Plain Pottery | Amphora | Neck-Amphora,Black and Plain Pottery | Amphora | Neck-Amphora,G 11:3-POU,H. 0.21; diam. 0.149.,Ca. 500 B.C.,-500,18+0000000001 Agora 0000000012:0000000003,Agora:Object:P 12781,1,,,
Agora:Object:Agora XII:4,Agora,Object,"Agora XII, no. 4",Public,12,4,"Ring foot. Echinoid mouth inset from neck and flat on top. Double ridge at junction of neck and wall. Inside of mouth and neck has a concave-convex curve. Strap handles. Reserved: flat top of mouth. Heavy. Clay bright pink and full of grit. Added red: band at level of lower attachments of handles. Non-Attic, probably Lakonian.",AV 12.4,Black and Plain Pottery | Amphora | Neck-Amphora,Black and Plain Pottery | Amphora | Neck-Amphora,U 19:2-U,H. 0.272; diam. 0.22.,Ca. 500 B.C.,-500,18+0000000001 Agora 0000000012:0000000004,Agora:Object:P 26725,1,,,
Agora:Object:Agora XII:5,Agora,Object,"Agora XII, no. 5",Public,12,5,"Echinus ring foot. Torus mouth; strap handles. Mottled glaze, fired pink and cream; peeled.",AV 12.5,"Bottom Fill: Late 6th c. B.C., at latest.",Black and Plain Pottery | Amphora | One-Piece Amphora and Various,V 24:2-POU,H. 0.254; diam. 0.181.,Late 6th c. B.C.,-525;-500,18+0000000001 Agora 0000000012:0000000005,Agora:Object:P 13014,1,,Agora:Image:2012.27.0009,
Agora:Object:Agora XII:6,Agora,Object,"Agora XII, no. 6",Public,12,6,"Flaring ring foot. Torus mouth; round handles. Added red: two bands at level of lower attachment of handles, one at level of upper, one at top of mouth.",AV 12.6,Black and Plain Pottery | Amphora | One-Piece Amphora and Various,Black and Plain Pottery | Amphora | One-Piece Amphora and Various,U 24:1-POU,H. 0.354; diam. 0.246.,Late 6th c. B.C.,-525;-500,18+0000000001 Agora 0000000012:0000000006,Agora:Object:P 13775,1,,,
Agora:Object:Agora XII:7,Agora,Object,"Agora XII, no. 7",Public,12,7,Flaring ring foot. Flaring rim; round handles. Added red: two lines at the level of the lower attachment of the handles. Glaze badly worn and peeled.,AV 12.7,Black and Plain Pottery | Amphora | One-Piece Amphora and Various,Black and Plain Pottery | Amphora | One-Piece Amphora and Various,G 15:1-U,H. 0.15; diam. 0.126.,Late 6th c. B.C.,-525;-500,18+0000000001 Agora 0000000012:0000000007,Agora:Object:P 1203,1,,Agora:Drawing:DA 8388,
Agora:Object:Agora XII:8,Agora,Object,"Agora XII, no. 8",Public,12,8,"Ring foot. Flaring rim, rounded; strap handles. Added red: two lines at level of lower attachment of handles, one line inside mouth. Glaze worn and peeled.",AV 12.8,Black and Plain Pottery | Amphora | One-Piece Amphora and Various,Black and Plain Pottery | Amphora | One-Piece Amphora and Various,F 19:4,H. 0.15; diam. 0.138.,480-450 B.C.,-480;-450,18+0000000001 Agora 0000000012:0000000008,Agora:Object:P 16036,1,,,
Agora:Object:Agora XII:9,Agora,Object,"Agora XII, no. 9",Public,12,9,"Part of foot.Reserved beneath and where it is broken above.Ostrakon of Habron (482 B.C.?). For the name see &lt;i&gt;Hesperia,&lt;/i&gt; Suppl. VIII, 1949, p. 409.",AV 12.9,Black and Plain Pottery | Amphora | One-Piece Amphora and Various,Black and Plain Pottery | Amphora | One-Piece Amphora and Various,E-F 12-14,,482 B.C.?,-482,18+0000000001 Agora 0000000012:0000000009,Agora:Object:P 5211,1,,Agora:Drawing:DA 13729,
Agora:Object:Agora XII:10,Agora,Object,"Agora XII, no. 10",Public,12,10,Knob only.Pomegranate knob. Groove round stalk which is reserved on top. Small hole in top.,AV 12.10,Black and Plain Pottery | Amphora | Lid,Black and Plain Pottery | Amphora | Lid,I 17:2,H. pres. 0.062; diam. 0.065.,Ca. 500 B.C.,-500,18+0000000001 Agora 0000000012:0000000010,Agora:Object:P 985,1,,Agora:Image:2012.56.0468,
